connector,flow,sub_flow,code,message,status,router_error,decision,created_at,last_modified,step_up_possible,unified_code,unified_message,error_category,clear_pan_possible,feature_data,feature,standardised_code,description,user_guidance_message
adyen,Authorize,sub_flow,15_017,Cannot perform an authorisation on a 3DS2 transaction more than 12 hours after the transaction began,Failure,,retry,2024-12-12 18:19:42,2025-10-31 17:04:45,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,957,Configuration Error (terminalId),failure,,retry,2024-12-12 18:18:37,2025-12-08 19:38:14,false,UE_2000,Issue with Configurations,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,14_033,The provided fingerprint is invalid,failure,,retry,2024-12-12 18:18:44,2025-12-08 19:38:16,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,218,Recurring shopper lookup failed,failure,,retry,2024-12-12 18:19:16,2025-12-08 19:38:11,false,UE_2000,Issue with Configurations,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,0,HTTP Status Response - Unauthorized,Failure,,do_default,2024-12-27 16:29:09,2025-10-31 17:03:27,false,UE_9000,Something went wrong,processor_decline_unauthorized,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,37,Contactless fallback,Failure,,do_default,2024-12-24 12:13:32,2025-10-31 17:03:36,false,UE_1000,Issue with Payment Method details,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Payment,Authorize,127,Required field 'accountHolderName' is not provided,failure,,retry,2025-12-08 21:18:23,2026-01-05 19:54:52,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,missing_or_invalid_param,Missing or invalid parameter,Something went wrong. Try another payment method or contact your bank
adyen,Authorize,sub_flow,5_604,Invalid Amazon Pay value supplied: <strong>VALUE</strong>,Failure,,do_default,2024-12-12 18:18:13,2025-10-31 17:04:54,false,UE_1000,Issue with Payment Method details,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,143,Submitted total iDEAL merchantReturnUrl length is {0} but max size is {1} for this request,Failure,,retry,2024-12-12 18:18:22,2025-10-31 17:03:50,false,UE_2000,Issue with Configurations,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,140,Invalid expiryMonth[1..12] / expiryYear[&gt;2000] or before now,Failure,,do_default,2024-12-12 18:18:09,2025-10-31 17:03:49,false,UE_1000,Issue with Payment Method details,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,141,Invalid expiryMonth[1..12] / expiryYear[&gt;2000],Failure,,do_default,2024-12-12 18:18:09,2025-10-31 17:03:50,false,UE_1000,Issue with Payment Method details,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,144,Invalid startMonth[1..12] / startYear[&gt;2000] or in the future,Failure,,do_default,2024-12-12 18:18:10,2025-10-31 17:03:50,false,UE_1000,Issue with Payment Method details,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,000,Multiple messages,Failure,,retry,2024-12-12 18:18:21,2025-10-31 17:05:45,false,UE_3000,Technical issue with PSP,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,5_602,Amazon Pay token doesn't exist for Amazon Pay,Failure,,do_default,2024-12-12 18:18:12,2025-10-31 17:04:53,false,UE_1000,Issue with Payment Method details,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,14_017,The provided SDK Token has an invalid timestamp,failure,,retry,2024-12-12 18:18:43,2025-12-08 19:38:15,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,5_206,PayWithGoogle signature corrupt,Failure,,retry,2024-12-12 18:18:20,2025-10-31 17:04:52,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,5_208,PayWithGoogle token already expired,Failure,,do_default,2024-12-12 18:18:20,2025-10-31 17:04:53,false,UE_1000,Issue with Payment Method details,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,199,The cryptographic operation could not proceed no key configured,Failure,,retry,2024-12-12 18:18:24,2025-10-31 17:04:04,false,UE_3000,Technical issue with PSP,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,010,Not allowed,Failure,,retry,2024-12-12 18:18:50,2024-12-12 18:18:50,false,UE_9000,Something went wrong,,false,,,,,
adyen,Authorize,sub_flow,122,Required field 'telephoneNumber' is not provided.,Failure,,retry,2024-12-12 18:18:56,2025-10-31 17:03:44,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,702,Problem parsing request,failure,,retry,2024-12-12 18:19:16,2025-12-08 19:38:12,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,704,Request already processed,Failure,,retry,2024-12-12 18:19:17,2025-10-31 17:04:11,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,921_1,Object 'mpiData' is missing required due to threeDReference,Failure,,retry,2024-12-12 18:19:23,2025-10-31 17:05:03,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,905_2,No specified acquirer account found for '{0}' for specified acquirer '{1}' with variant '{2}' for unit '{3}' for Action '{4}',Failure,,retry,2024-12-12 18:19:18,2025-10-31 17:05:02,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,905_3,Could not find an acquirer account for the provided currency ({0}),Failure,,retry,2024-12-12 18:19:19,2025-10-31 17:05:02,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,905_4,Cashback and Cashout are not allowed for the configured acquirer account,Failure,,retry,2024-12-12 18:19:19,2025-10-31 17:05:02,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,905_6,Both 'KlarnaPayments' and 'Klarna' platforms have been configured for the merchant account. Only one of two is allowed,Failure,,retry,2024-12-12 18:19:20,2025-10-31 17:05:03,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,907,Payment details are not supported for this country/ MCC combination,Failure,,retry,2024-12-12 18:19:20,2025-10-31 17:04:16,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,919,The 'additionalAmount' currency should be the same currency as the payment,Failure,,retry,2024-12-12 18:19:22,2025-10-31 17:04:17,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,921_2,Object 'mpiData' is not valid. Reason: 'authenticationResponse' missing,Failure,,retry,2024-12-12 18:19:23,2025-10-31 17:05:04,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,921_2,Object 'mpiData' is not valid. Reason: 'directoryResponse' mismatch,Failure,,retry,2024-12-12 18:19:23,2025-10-31 17:05:04,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,922,Account updater connection only supported for Visa &amp; MasterCard,Failure,,retry,2024-12-12 18:19:24,2025-10-31 17:04:17,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,602,No creditorAccount specified,failure,,retry,2024-12-12 18:18:25,2025-12-08 19:38:11,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,14_0378,Provided recurringExpiry format is invalid. Required format: yyyy-MM-dd'T'HH:mm:ssX for example 2019-12-31T23:59:59+02:00,Failure,,retry,2024-12-12 18:19:35,2025-10-31 17:04:35,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,14_0379,expiresAt is greater than the allowed date max allowed: <strong>VALUE</strong>,Failure,,retry,2024-12-12 18:19:36,2025-10-31 17:04:35,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,14_0380,PaymentData and MD belong to different requests please submit the correct MD,Failure,,retry,2024-12-12 18:19:36,2025-10-31 17:04:36,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,14_035,'origin' or 'notificationURL' must be provided,Failure,,retry,2024-12-12 18:19:34,2024-12-12 18:19:34,false,UE_4000,Issue with Integration,,false,,,,,
adyen,Authorize,sub_flow,14_0385,PaymentLink is expired,failure,,do_default,2024-12-12 18:18:12,2025-11-13 12:29:19,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,5_613,Amazon Pay timeout,failure,,do_default,2024-12-12 18:18:16,2025-11-13 12:29:50,false,UE_3000,Technical issue with PSP,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,127,Required field 'accountHolderName' is not provided,failure,,retry,2024-12-12 18:18:57,2025-12-08 19:38:08,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,140,"Invalid expiryMonth[1..12] / expiryYear[>2000], or before now",failure,,do_default,2025-11-13 12:27:13,2025-11-13 12:27:13,false,UE_1000,Issue with Payment Method details,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,107,Recurring is not enabled,failure,,retry,2024-12-12 18:18:51,2025-12-08 19:38:07,false,UE_2000,Issue with Configurations,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,604,No creditorAccount found,failure,,retry,2024-12-12 18:18:26,2025-12-08 19:38:11,false,UE_2000,Issue with Configurations,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,906,Invalid Request: Original pspReference is invalid for this environment,failure,,retry,2024-12-12 18:19:20,2025-12-08 19:38:13,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,927,Missing payment details,failure,,retry,2024-12-12 18:19:25,2025-12-08 19:38:13,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Payment,Authorize,151,Required field 'deliveryAddress.stateOrProvince' is not provided,failure,,retry,2025-12-08 21:18:24,2026-01-05 19:54:53,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,missing_or_invalid_param,Missing or invalid parameter,Something went wrong. Try another payment method or contact your bank
adyen,Authorize,sub_flow,801,Too many PaymentDetails defined,failure,,retry,2024-12-12 18:18:31,2025-12-08 19:38:12,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,106,This session was already used previously,failure,,retry,2024-12-12 18:18:51,2025-12-08 19:38:07,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,962,Configuration Error (merchantName),failure,,retry,2024-12-12 18:18:38,2025-12-08 19:38:14,false,UE_2000,Issue with Configurations,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,607,InvoiceBatch already exists,failure,,retry,2024-12-12 18:18:27,2025-12-08 19:38:11,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,15_007,Value of FIELD_NAME is too long (VALUE > MAX_ALLOWED_VALUE),failure,,retry,2025-11-13 12:29:29,2025-12-08 19:38:18,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,926,Invalid iDEAL issuer provided,failure,,do_default,2024-12-12 18:18:11,2025-11-13 12:28:34,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,122,Required field 'telephoneNumber' is not provided,failure,,retry,2025-11-13 12:27:01,2025-12-08 19:38:08,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,608,Unable to create InvoiceBatch,failure,,retry,2024-12-12 18:18:27,2025-12-08 19:38:11,false,UE_3000,Technical issue with PSP,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,14_037,Provided orderData is invalid,failure,,retry,2024-12-12 18:19:35,2025-12-08 19:38:16,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,609,InvoiceBatch validity period exceeded,failure,,retry,2024-12-12 18:18:28,2025-12-08 19:38:12,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,964,Invalid company name,failure,,retry,2024-12-12 18:18:39,2025-12-08 19:38:14,false,UE_2000,Issue with Configurations,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,14_022,Missing uniqueTerminalId,failure,,retry,2024-12-12 18:19:31,2025-12-08 19:38:16,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,690,Error while storing debtor,failure,,retry,2024-12-12 18:18:28,2025-12-08 19:38:12,false,UE_3000,Technical issue with PSP,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Payment,Authorize,187,Invalid additionalData field,failure,,retry,2025-12-08 21:18:25,2026-01-05 19:54:54,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,missing_or_invalid_param,Missing or invalid parameter,Something went wrong. Try another payment method or contact your bank
adyen,Authorize,sub_flow,929,Invalid base currency specified,failure,,retry,2024-12-12 18:19:26,2025-12-08 19:38:13,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,905_1,Could not find an acquirer account for the provided txvariant ({0}) currency ({1}) and action ({2}),failure,,do_default,2024-12-12 18:19:18,2025-11-13 12:28:24,false,UE_2000,Issue with Configurations,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,115,Total amount is not the same as the sum of the lines,failure,,retry,2024-12-12 18:18:53,2025-12-08 19:38:07,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,143,iDEAL merchantReturnUrl length too long,failure,,retry,2025-11-13 12:27:15,2025-12-08 19:38:09,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,905_1,"Could not find an acquirer account for the provided txvariant (amex_applepay), currency (CHF), and action (AUTH).",failure,,do_default,2024-12-27 16:29:02,2025-11-13 12:28:16,false,UE_2000,Issue with Configurations,processor_decline_unauthorized,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,965,Missing company details,failure,,retry,2024-12-12 18:18:39,2025-12-08 19:38:14,false,UE_2000,Issue with Configurations,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,134,Billing address problem (Country),failure,,retry,2024-12-12 18:18:59,2025-12-08 19:38:08,false,UE_1000,Issue with Payment Method details,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
